iteration,waiting percentage
1,24.71264367816092
2,24.66281310211946
3,24.6
4,24.356435643564357
5,24.62406015037594
6,24.50592885375494
7,24.56813819577735
8,24.752475247524753
9,24.550898203592812
10,24.485596707818928
11,24.80916030534351
12,24.612403100775193
13,24.538745387453876
14,24.50199203187251
15,24.62121212121212
16,24.39516129032258
17,24.649298597194388
18,24.701195219123505
19,24.69879518072289
20,24.5136186770428
21,24.71264367816092
22,24.609375
23,24.803149606299215
24,24.748490945674046
25,24.75049900199601
26,24.375
27,24.531835205992508
28,24.696356275303643
29,24.564796905222437
30,24.69879518072289
