iteration,waiting percentage
1,24.335378323108383
2,24.06311637080868
3,24.708171206225682
4,24.69879518072289
5,24.324324324324326
6,24.59349593495935
7,24.409448818897637
8,24.807692307692307
9,24.660194174757283
10,24.285714285714285
11,23.7603305785124
12,24.380165289256198
13,24.564796905222437
14,24.0
15,23.96039603960396
16,23.877551020408163
17,24.539877300613497
18,24.798387096774192
19,24.35129740518962
20,24.277456647398843
21,24.354243542435423
22,24.312896405919663
23,24.4140625
24,23.976608187134502
25,24.302788844621514
26,24.277456647398843
27,24.313725490196077
28,24.6
29,24.364406779661017
30,24.550898203592812
